date	region	sessions	mobile	ctr	bounce_rate	first_action	last_action
2017-06-15	Everyone else	4868	2029	0.4166	0.5834	search	search
2017-06-15	United States	2808	1001	0.7404	0.2596	search	search
2017-06-16	Everyone else	4550	1908	0.3947	0.6053	search	search
2017-06-16	United States	2711	988	0.7186	0.2814	search	search
2017-06-17	Everyone else	4421	2102	0.3825	0.6175	search	search
2017-06-17	United States	2285	1032	0.6967	0.3033	search	search
2017-06-18	Everyone else	4539	2130	0.4043	0.5957	search	search
2017-06-18	United States	2320	1088	0.7043	0.2957	search	search
2017-06-19	Everyone else	4849	2075	0.4285	0.5715	search	search
2017-06-19	United States	2925	1032	0.7545	0.2455	search	search
2017-06-20	Everyone else	4812	1962	0.4146	0.5854	search	search
2017-06-20	United States	2881	1012	0.7296	0.2704	search	search
2017-06-21	Everyone else	4831	2021	0.4258	0.5742	search	search
2017-06-21	United States	2874	1053	0.7484	0.2516	search	search
2017-06-22	Everyone else	4964	1992	0.4089	0.5911	search	search
2017-06-22	United States	2858	975	0.7456	0.2544	search	search
2017-06-23	Everyone else	4699	1982	0.3939	0.6061	search	search
2017-06-23	United States	2750	1015	0.7418	0.2582	search	search
2017-06-24	Everyone else	4377	2023	0.3783	0.6217	search	search
2017-06-24	United States	2311	1057	0.7144	0.2856	search	search
2017-06-25	Everyone else	4550	2179	0.3859	0.6141	search	search
2017-06-25	United States	2398	1146	0.7385	0.2615	search	search
2017-06-26	Everyone else	4904	2094	0.4237	0.5763	search	search
2017-06-26	United States	2934	1035	0.7447	0.2553	search	search
2017-06-27	Everyone else	4915	2120	0.4059	0.5941	search	search
2017-06-27	United States	2813	954	0.7423	0.2577	search	search
2017-06-28	Everyone else	4977	2163	0.4051	0.5949	search	search
2017-06-28	United States	2761	953	0.7526	0.2474	search	search
2017-06-29	Everyone else	4766	2070	0.411	0.589	search	search
2017-06-29	United States	2824	998	0.7351	0.2649	search	search
2017-06-30	Everyone else	4699	2009	0.3918	0.6082	search	search
2017-06-30	United States	2751	1017	0.7288	0.2712	search	search
2017-07-01	Everyone else	4391	2177	0.3858	0.6142	search	search
2017-07-01	United States	2359	1105	0.7016	0.2984	search	search
2017-07-02	Everyone else	4260	2084	0.4042	0.5958	search	search
2017-07-02	United States	2264	1123	0.7133	0.2867	search	search
2017-07-03	Everyone else	4828	2133	0.4196	0.5804	search	search
2017-07-03	United States	2730	1107	0.7505	0.2495	search	search
2017-07-04	Everyone else	4638	1962	0.4157	0.5843	search	search
2017-07-04	United States	2474	1184	0.7175	0.2825	search	search
2017-07-05	Everyone else	4903	2126	0.4079	0.5921	search	search
2017-07-05	United States	2791	1009	0.737	0.263	search	search
2017-07-06	Everyone else	4777	2032	0.4069	0.5931	search	search
2017-07-06	United States	2852	1024	0.7433	0.2567	search	search
2017-07-07	Everyone else	4293	2007	0.416	0.584	search	search
2017-07-07	United States	2834	1039	0.7421	0.2579	search	search
2017-07-08	Everyone else	4151	2097	0.3951	0.6049	search	search
2017-07-08	United States	2452	1161	0.7145	0.2855	search	search
2017-07-09	Everyone else	4244	2173	0.4189	0.5811	search	search
2017-07-09	United States	2481	1195	0.7392	0.2608	search	search
2017-07-10	Everyone else	4668	2084	0.4389	0.5611	search	search
2017-07-10	United States	3004	1062	0.739	0.261	search	search
2017-07-11	Everyone else	4901	2174	0.4275	0.5725	search	search
2017-07-11	United States	2926	961	0.7153	0.2847	search	search
2017-07-12	Everyone else	4756	2158	0.4256	0.5744	search	search
2017-07-12	United States	2955	1013	0.7279	0.2721	search	search
2017-07-13	Everyone else	4595	2057	0.4287	0.5713	search	search
2017-07-13	United States	2922	989	0.7317	0.2683	search	search
2017-07-14	Everyone else	4537	2093	0.4181	0.5819	search	search
2017-07-14	United States	2761	1038	0.7247	0.2753	search	search
2017-07-15	Everyone else	4172	2070	0.3933	0.6067	search	search
2017-07-15	United States	2451	1121	0.7058	0.2942	search	search
2017-07-16	Everyone else	4522	2202	0.4133	0.5867	search	search
2017-07-16	United States	2535	1110	0.6726	0.3274	search	search
2017-07-17	Everyone else	5084	2069	0.4013	0.5987	search	search
2017-07-17	United States	3500	1029	0.6271	0.3729	search	search
2017-07-18	Everyone else	4630	2049	0.4402	0.5598	search	search
2017-07-18	United States	3006	1050	0.7482	0.2518	search	search
2017-07-19	Everyone else	4647	2190	0.4177	0.5823	search	search
2017-07-19	United States	2865	949	0.7414	0.2586	search	search
2017-07-20	Everyone else	4679	2219	0.4326	0.5674	search	search
2017-07-20	United States	3018	1009	0.7455	0.2545	search	search
2017-07-21	Everyone else	4387	2032	0.4342	0.5658	search	search
2017-07-21	United States	2918	1027	0.7433	0.2567	search	search
2017-07-22	Everyone else	4279	2175	0.3968	0.6032	search	search
2017-07-22	United States	2501	1136	0.6853	0.3147	search	search
2017-07-23	Everyone else	4401	2205	0.4026	0.5974	search	search
