date	referrer	pageviews	proportion
2016-04-02	Referred by a search engine	136457	0.593
2016-04-02	Referred internally (itself or a sister wiki)	686788	2.985
2016-04-02	Direct (not referred by anything)	21942580	95.376
2016-04-03	Referred by something other than search engine	246015	1.16
2016-04-03	Referred by a search engine	151660	0.715
2016-04-03	Referred internally (itself or a sister wiki)	682492	3.218
2016-04-03	Direct (not referred by anything)	20130918	94.908
2016-04-04	Referred by something other than search engine	284176	1.309
2016-04-04	Referred by a search engine	221127	1.019
2016-04-04	Referred internally (itself or a sister wiki)	782071	3.603
2016-04-04	Direct (not referred by anything)	20417927	94.069
2016-04-05	Referred by something other than search engine	293029	1.402
2016-04-05	Referred by a search engine	224084	1.072
2016-04-05	Referred internally (itself or a sister wiki)	789728	3.779
2016-04-05	Direct (not referred by anything)	19589753	93.746
2016-04-06	Referred by something other than search engine	323465	1.765
2016-04-06	Referred by a search engine	225948	1.233
2016-04-06	Referred internally (itself or a sister wiki)	777833	4.243
2016-04-06	Direct (not referred by anything)	17003489	92.759
2016-04-07	Referred by something other than search engine	335686	1.916
2016-04-07	Referred by a search engine	219790	1.254
2016-04-07	Referred internally (itself or a sister wiki)	810863	4.628
2016-04-07	Direct (not referred by anything)	16154009	92.201
2016-04-08	Referred by something other than search engine	317922	1.955
2016-04-08	Referred by a search engine	196159	1.206
2016-04-08	Referred internally (itself or a sister wiki)	751795	4.622
2016-04-08	Direct (not referred by anything)	15000022	92.218
2016-04-09	Referred by something other than search engine	280103	1.832
2016-04-09	Referred by a search engine	140018	0.916
2016-04-09	Referred internally (itself or a sister wiki)	625039	4.088
2016-04-09	Direct (not referred by anything)	14242980	93.164
2016-04-10	Referred by something other than search engine	626416	4.073
2016-04-10	Referred by a search engine	151791	0.987
2016-04-10	Referred internally (itself or a sister wiki)	700817	4.557
2016-04-10	Direct (not referred by anything)	13901422	90.384
2016-04-11	Referred by something other than search engine	370265	2.393
2016-04-11	Referred by a search engine	228239	1.475
2016-04-11	Referred internally (itself or a sister wiki)	831684	5.376
2016-04-11	Direct (not referred by anything)	14039844	90.755
2016-04-12	Referred by something other than search engine	356449	2.397
2016-04-12	Referred by a search engine	229088	1.54
2016-04-12	Referred internally (itself or a sister wiki)	814624	5.478
2016-04-12	Direct (not referred by anything)	13470918	90.585
2016-04-13	Referred by something other than search engine	332757	2.5
2016-04-13	Referred by a search engine	222388	1.671
2016-04-13	Referred internally (itself or a sister wiki)	793857	5.965
2016-04-13	Direct (not referred by anything)	11960459	89.864
2016-04-14	Referred by something other than search engine	332524	2.549
2016-04-14	Referred by a search engine	218769	1.677
2016-04-14	Referred internally (itself or a sister wiki)	794598	6.09
2016-04-14	Direct (not referred by anything)	11701457	89.685
2016-04-15	Referred by something other than search engine	436459	3.323
2016-04-15	Referred by a search engine	201465	1.534
2016-04-15	Referred internally (itself or a sister wiki)	717414	5.462
2016-04-15	Direct (not referred by anything)	11778896	89.681
2016-04-16	Referred by something other than search engine	265950	2.217
2016-04-16	Referred by a search engine	136707	1.14
2016-04-16	Referred internally (itself or a sister wiki)	588013	4.901
2016-04-16	Direct (not referred by anything)	11005983	91.742
2016-04-17	Referred by something other than search engine	284175	2.358
2016-04-17	Referred by a search engine	152094	1.262
2016-04-17	Referred internally (itself or a sister wiki)	642778	5.334
2016-04-17	Direct (not referred by anything)	10971789	91.046
2016-04-18	Referred by something other than search engine	339287	2.571
2016-04-18	Referred by a search engine	232765	1.764
2016-04-18	Referred internally (itself or a sister wiki)	791841	6.001
2016-04-18	Direct (not referred by anything)	11831238	89.664
2016-04-19	Referred by something other than search engine	351582	2.623
2016-04-19	Referred by a search engine	234720	1.751
2016-04-19	Referred internally (itself or a sister wiki)	791376	5.905
2016-04-19	Direct (not referred by anything)	12023813	89.72
2016-04-20	Referred by something other than search engine	379047	2.953
2016-04-20	Referred by a search engine	235439	1.834
2016-04-20	Referred internally (itself or a sister wiki)	717241	5.587
2016-04-20	Direct (not referred by anything)	11504900	89.626
2016-04-21	Referred by something other than search engine	316552	2.364
2016-04-21	Referred by a search engine	258081	1.928
2016-04-21	Referred internally (itself or a sister wiki)	791637	5.913
2016-04-21	Direct (not referred by anything)	12021688	89.795
2016-04-22	Referred by something other than search engine	303686	2.326
2016-04-22	Referred by a search engine	228520	1.75
2016-04-22	Referred internally (itself or a sister wiki)	732030	5.607
2016-04-22	Direct (not referred by anything)	11791001	90.316
2016-04-23	Referred by something other than search engine	270497	2.164
2016-04-23	Referred by a search engine	156052	1.249
2016-04-23	Referred internally (itself or a sister wiki)	592390	4.74
2016-04-23	Direct (not referred by anything)	11478828	91.847
2016-04-24	Referred by something other than search engine	283831	2.235
2016-04-24	Referred by a search engine	170674	1.344
2016-04-24	Referred internally (itself or a sister wiki)	659862	5.196
2016-04-24	Direct (not referred by anything)	11584935	91.225
2016-04-25	Referred by something other than search engine	298643	2.22
2016-04-25	Referred by a search engine	245781	1.827
2016-04-25	Referred internally (itself or a sister wiki)	760824	5.654
2016-04-25	Direct (not referred by anything)	12150079	90.299
2016-04-26	Referred by something other than search engine	286243	2.137
2016-04-26	Referred by a search engine	249103	1.86
2016-04-26	Referred internally (itself or a sister wiki)	754027	5.63
2016-04-26	Direct (not referred by anything)	12104253	90.373
2016-04-27	Referred by something other than search engine	288742	2.177
2016-04-27	Referred by a search engine	259221	1.954
2016-04-27	Referred internally (itself or a sister wiki)	755226	5.694
2016-04-27	Direct (not referred by anything)	11961436	90.175
2016-04-28	Referred by something other than search engine	274547	2.112
2016-04-28	Referred by a search engine	243686	1.874
2016-04-28	Referred internally (itself or a sister wiki)	729726	5.612
2016-04-28	Direct (not referred by anything)	11753929	90.402
2016-04-29	Referred by something other than search engine	279022	2.171
2016-04-29	Referred by a search engine	208204	1.62
2016-04-29	Referred internally (itself or a sister wiki)	709171	5.517
2016-04-29	Direct (not referred by anything)	11657814	90.693
2016-04-30	Referred by something other than search engine	243924	2.01
2016-04-30	Referred by a search engine	139526	1.15
2016-04-30	Referred internally (itself or a sister wiki)	612400	5.048
2016-04-30	Direct (not referred by anything)	11136781	91.792
2016-05-01	Referred by something other than search engine	241559	1.958
2016-05-01	Referred by a search engine	153316	1.243
2016-05-01	Referred internally (itself or a sister wiki)	651434	5.28
2016-05-01	Direct (not referred by anything)	11292044	91.52
2016-05-02	Referred by something other than search engine	292557	2.24
2016-05-02	Referred by a search engine	222497	1.704
2016-05-02	Referred internally (itself or a sister wiki)	720648	5.518
2016-05-02	Direct (not referred by anything)	11824897	90.539
2016-05-03	Referred by something other than search engine	292904	2.003
2016-05-03	Referred by a search engine	228690	1.564
2016-05-03	Referred internally (itself or a sister wiki)	715090	4.89
2016-05-03	Direct (not referred by anything)	13385716	91.543
2016-05-04	Referred by something other than search engine	213599	1.388
2016-05-04	Referred by a search engine	228711	1.486
2016-05-04	Referred internally (itself or a sister wiki)	701147	4.557
2016-05-04	Direct (not referred by anything)	14242940	92.568
2016-05-05	Referred by something other than search engine	194161	1.486
2016-05-05	Referred by a search engine	233603	1.788
2016-05-05	Referred internally (itself or a sister wiki)	658728	5.043
2016-05-05	Direct (not referred by anything)	11975193	91.682
2016-05-06	Referred by something other than search engine	207683	1.65
2016-05-06	Referred by a search engine	217938	1.731
2016-05-06	Referred internally (itself or a sister wiki)	668739	5.312
2016-05-06	Direct (not referred by anything)	11493780	91.306
2016-05-07	Referred by something other than search engine	175628	1.441
2016-05-07	Referred by a search engine	162206	1.331
2016-05-07	Referred internally (itself or a sister wiki)	535341	4.391
2016-05-07	Direct (not referred by anything)	11317925	92.838
2016-05-08	Referred by something other than search engine	176100	1.428
2016-05-08	Referred by a search engine	180162	1.461
2016-05-08	Referred internally (itself or a sister wiki)	544928	4.419
2016-05-08	Direct (not referred by anything)	11430838	92.692
2016-05-09	Referred by something other than search engine	216905	1.38
2016-05-09	Referred by a search engine	259159	1.649
2016-05-09	Referred internally (itself or a sister wiki)	706096	4.494
2016-05-09	Direct (not referred by anything)	14531107	92.477
2016-05-10	Referred by something other than search engine	254379	1.498
2016-05-10	Referred by a search engine	236381	1.392
2016-05-10	Referred internally (itself or a sister wiki)	704128	4.146
2016-05-10	Direct (not referred by anything)	15787171	92.964
2016-05-11	Referred by something other than search engine	253861	1.721
2016-05-11	Referred by a search engine	218819	1.483
2016-05-11	Referred internally (itself or a sister wiki)	697368	4.727
2016-05-11	Direct (not referred by anything)	13584031	92.07
2016-05-12	Referred by something other than search engine	252215	1.885
2016-05-12	Referred by a search engine	206459	1.543
2016-05-12	Referred internally (itself or a sister wiki)	685655	5.125
2016-05-12	Direct (not referred by anything)	12234268	91.447
2016-05-13	Referred by something other than search engine	245649	1.789
2016-05-13	Referred by a search engine	187833	1.368
2016-05-13	Referred internally (itself or a sister wiki)	659030	4.8
2016-05-13	Direct (not referred by anything)	12636165	92.042
2016-05-14	Referred by something other than search engine	233744	1.843
2016-05-14	Referred by a search engine	123843	0.977
2016-05-14	Referred internally (itself or a sister wiki)	586046	4.622
2016-05-14	Direct (not referred by anything)	11736642	92.558
2016-05-15	Referred by something other than search engine	218749	1.581
2016-05-15	Referred by a search engine	139684	1.01
2016-05-15	Referred internally (itself or a sister wiki)	575238	4.158
2016-05-15	Direct (not referred by anything)	12899404	93.25
2016-05-16	Referred by something other than search engine	261763	1.665
2016-05-16	Referred by a search engine	213159	1.356
2016-05-16	Referred internally (itself or a sister wiki)	686551	4.368
2016-05-16	Direct (not referred by anything)	14557898	92.611
2016-05-17	Referred by something other than search engine	251638	1.584
2016-05-17	Referred by a search engine	209500	1.318
2016-05-17	Referred internally (itself or a sister wiki)	782822	4.926
2016-05-17	Direct (not referred by anything)	14647019	92.172
2016-05-18	Referred by something other than search engine	252080	1.523
2016-05-18	Referred by a search engine	203493	1.23
2016-05-18	Referred internally (itself or a sister wiki)	2219169	13.408
2016-05-18	Direct (not referred by anything)	13875873	83.839
2016-05-19	Referred by something other than search engine	243490	1.572
2016-05-19	Referred by a search engine	205705	1.328
2016-05-19	Referred internally (itself or a sister wiki)	694826	4.486
2016-05-19	Direct (not referred by anything)	14345697	92.614
2016-05-20	Referred by something other than search engine	251376	1.829
2016-05-20	Referred by a search engine	186784	1.359
2016-05-20	Referred internally (itself or a sister wiki)	667695	4.859
2016-05-20	Direct (not referred by anything)	12635763	91.953
2016-05-21	Referred by something other than search engine	217331	1.635
2016-05-21	Referred by a search engine	125126	0.941
2016-05-21	Referred internally (itself or a sister wiki)	527093	3.964
2016-05-21	Direct (not referred by anything)	12426211	93.46
2016-05-22	Referred by something other than search engine	225317	1.595
2016-05-22	Referred by a search engine	136770	0.968
2016-05-22	Referred internally (itself or a sister wiki)	563264	3.987
2016-05-22	Direct (not referred by anything)	13203619	93.451
2016-05-23	Referred by something other than search engine	257955	1.713
2016-05-23	Referred by a search engine	209609	1.392
2016-05-23	Referred internally (itself or a sister wiki)	676884	4.495
2016-05-23	Direct (not referred by anything)	13914282	92.4
2016-05-24	Referred by something other than search engine	257529	1.737
2016-05-24	Referred by a search engine	198359	1.338
2016-05-24	Referred internally (itself or a sister wiki)	672089	4.534
2016-05-24	Direct (not referred by anything)	13696552	92.391
2016-05-25	Referred by something other than search engine	243711	1.656
2016-05-25	Referred by a search engine	187237	1.272
2016-05-25	Referred internally (itself or a sister wiki)	663464	4.508
2016-05-25	Direct (not referred by anything)	13623382	92.564
2016-05-26	Referred by something other than search engine	247195	1.687
2016-05-26	Referred by a search engine	184421	1.259
2016-05-26	Referred internally (itself or a sister wiki)	657167	4.485
2016-05-26	Direct (not referred by anything)	13562462	92.569
2016-05-27	Referred by something other than search engine	415982	2.737
2016-05-27	Referred by a search engine	164796	1.084
2016-05-27	Referred internally (itself or a sister wiki)	619118	4.073
2016-05-27	Direct (not referred by anything)	13999716	92.106
2016-05-28	Referred by something other than search engine	205152	1.571
2016-05-28	Referred by a search engine	114143	0.874
2016-05-28	Referred internally (itself or a sister wiki)	530371	4.062
2016-05-28	Direct (not referred by anything)	12205640	93.492
2016-05-29	Referred by something other than search engine	218715	1.477
2016-05-29	Referred by a search engine	126891	0.857
2016-05-29	Referred internally (itself or a sister wiki)	568234	3.837
2016-05-29	Direct (not referred by anything)	13893789	93.829
2016-05-30	Referred by something other than search engine	235873	1.701
2016-05-30	Referred by a search engine	156838	1.131
2016-05-30	Referred internally (itself or a sister wiki)	660007	4.761
2016-05-30	Direct (not referred by anything)	12810110	92.406
2016-05-31	Referred by something other than search engine	241856	1.588
2016-05-31	Referred by a search engine	183808	1.207
2016-05-31	Referred internally (itself or a sister wiki)	699581	4.593
2016-05-31	Direct (not referred by anything)	14104965	92.612
2016-06-01	Referred by something other than search engine	246039	1.633
2016-06-01	Referred by a search engine	182095	1.209
2016-06-01	Referred internally (itself or a sister wiki)	728723	4.837
2016-06-01	Direct (not referred by anything)	13908551	92.321
2016-06-02	Referred by something other than search engine	236702	1.67
2016-06-02	Referred by a search engine	177564	1.252
2016-06-02	Referred internally (itself or a sister wiki)	700701	4.942
2016-06-02	Direct (not referred by anything)	13062733	92.136
2016-06-03	Referred by something other than search engine	193704	1.443
2016-06-03	Referred by a search engine	159593	1.189
2016-06-03	Referred internally (itself or a sister wiki)	648796	4.833
2016-06-03	Direct (not referred by anything)	12423388	92.536
2016-06-04	Referred by something other than search engine	169187	1.332
2016-06-04	Referred by a search engine	126357	0.994
2016-06-04	Referred internally (itself or a sister wiki)	549481	4.325
2016-06-04	Direct (not referred by anything)	11860728	93.349
2016-06-05	Referred by something other than search engine	168051	1.31
2016-06-05	Referred by a search engine	131687	1.027
2016-06-05	Referred internally (itself or a sister wiki)	601523	4.69
2016-06-05	Direct (not referred by anything)	11923170	92.972
2016-06-06	Referred by something other than search engine	194686	1.349
2016-06-06	Referred by a search engine	180007	1.248
2016-06-06	Referred internally (itself or a sister wiki)	696236	4.826
2016-06-06	Direct (not referred by anything)	13355821	92.577
2016-06-07	Referred by something other than search engine	185626	1.249
2016-06-07	Referred by a search engine	180066	1.211
2016-06-07	Referred internally (itself or a sister wiki)	707610	4.76
2016-06-07	Direct (not referred by anything)	13793383	92.78
2016-06-08	Referred by something other than search engine	180188	0.974
2016-06-08	Referred by a search engine	173878	0.94
2016-06-08	Referred internally (itself or a sister wiki)	704675	3.811
2016-06-08	Direct (not referred by anything)	17433687	94.275
2016-06-09	Referred by something other than search engine	182998	0.849
2016-06-09	Referred by a search engine	176634	0.82
2016-06-09	Referred internally (itself or a sister wiki)	698330	3.241
2016-06-09	Direct (not referred by anything)	20489835	95.09
2016-06-10	Referred by something other than search engine	167366	0.76
2016-06-10	Referred by a search engine	160225	0.727
2016-06-10	Referred internally (itself or a sister wiki)	673818	3.059
2016-06-10	Direct (not referred by anything)	21027924	95.454
2016-06-11	Referred by something other than search engine	151860	0.719
2016-06-11	Referred by a search engine	131767	0.624
2016-06-11	Referred internally (itself or a sister wiki)	578815	2.739
2016-06-11	Direct (not referred by anything)	20268189	95.919
2016-06-12	Referred by something other than search engine	167582	0.81
2016-06-12	Referred by a search engine	143867	0.696
2016-06-12	Referred internally (itself or a sister wiki)	619393	2.995
2016-06-12	Direct (not referred by anything)	19752822	95.5
2016-06-13	Referred by something other than search engine	198410	0.852
2016-06-13	Referred by a search engine	184741	0.793
2016-06-13	Referred internally (itself or a sister wiki)	722772	3.102
2016-06-13	Direct (not referred by anything)	22191327	95.253
2016-06-14	Referred by something other than search engine	188145	0.75
2016-06-14	Referred by a search engine	184700	0.736
2016-06-14	Referred internally (itself or a sister wiki)	732884	2.922
2016-06-14	Direct (not referred by anything)	23978280	95.592
2016-06-15	Referred by something other than search engine	176378	0.717
2016-06-15	Referred by a search engine	181113	0.736
2016-06-15	Referred internally (itself or a sister wiki)	683787	2.778
2016-06-15	Direct (not referred by anything)	23570680	95.769
2016-06-16	Referred by something other than search engine	167680	0.533
2016-06-16	Referred by a search engine	174204	0.553
2016-06-16	Referred internally (itself or a sister wiki)	675373	2.146
2016-06-16	Direct (not referred by anything)	30458866	96.768
2016-06-17	Referred by something other than search engine	163341	0.676
2016-06-17	Referred by a search engine	155453	0.643
2016-06-17	Referred internally (itself or a sister wiki)	633954	2.623
2016-06-17	Direct (not referred by anything)	23218310	96.058
2016-06-18	Referred by something other than search engine	144004	0.62
2016-06-18	Referred by a search engine	128173	0.552
2016-06-18	Referred internally (itself or a sister wiki)	564399	2.43
