date	referrer	pageviews	proportion
2016-07-16	Referred internally (itself or a sister wiki)	605734	2.282
2016-07-16	Direct (not referred by anything)	25585759	96.39
2016-07-17	Referred by something other than search engine	164191	0.642
2016-07-17	Referred by a search engine	132308	0.517
2016-07-17	Referred internally (itself or a sister wiki)	622343	2.432
2016-07-17	Direct (not referred by anything)	24675941	96.41
2016-07-18	Referred by something other than search engine	203882	0.744
2016-07-18	Referred by a search engine	169454	0.618
2016-07-18	Referred internally (itself or a sister wiki)	760705	2.776
2016-07-18	Direct (not referred by anything)	26268393	95.862
2016-07-19	Referred by something other than search engine	224508	0.596
2016-07-19	Referred by a search engine	168400	0.447
2016-07-19	Referred internally (itself or a sister wiki)	796761	2.116
2016-07-19	Direct (not referred by anything)	36455863	96.84
2016-07-20	Referred by something other than search engine	238624	0.581
2016-07-20	Referred by a search engine	164138	0.399
2016-07-20	Referred internally (itself or a sister wiki)	794740	1.934
2016-07-20	Direct (not referred by anything)	39902226	97.086
2016-07-21	Referred by something other than search engine	250897	0.865
2016-07-21	Referred by a search engine	160170	0.552
2016-07-21	Referred internally (itself or a sister wiki)	772735	2.664
2016-07-21	Direct (not referred by anything)	27825423	95.919
2016-07-22	Referred by something other than search engine	246624	0.9
2016-07-22	Referred by a search engine	153577	0.56
2016-07-22	Referred internally (itself or a sister wiki)	763794	2.786
2016-07-22	Direct (not referred by anything)	26251673	95.754
2016-07-23	Referred by something other than search engine	238671	0.928
2016-07-23	Referred by a search engine	125335	0.487
2016-07-23	Referred internally (itself or a sister wiki)	672987	2.616
2016-07-23	Direct (not referred by anything)	24684391	95.968
2016-07-24	Referred by something other than search engine	244210	0.969
2016-07-24	Referred by a search engine	131950	0.524
2016-07-24	Referred internally (itself or a sister wiki)	683570	2.712
2016-07-24	Direct (not referred by anything)	24143951	95.795
2016-07-25	Referred by something other than search engine	284920	1.068
2016-07-25	Referred by a search engine	167624	0.628
2016-07-25	Referred internally (itself or a sister wiki)	781447	2.93
2016-07-25	Direct (not referred by anything)	25437352	95.373
2016-07-26	Referred by something other than search engine	300747	1.096
2016-07-26	Referred by a search engine	172142	0.627
2016-07-26	Referred internally (itself or a sister wiki)	779489	2.841
2016-07-26	Direct (not referred by anything)	26185086	95.436
2016-07-27	Referred by something other than search engine	305038	1.14
2016-07-27	Referred by a search engine	213399	0.797
2016-07-27	Referred internally (itself or a sister wiki)	783828	2.928
2016-07-27	Direct (not referred by anything)	25464806	95.135
2016-07-28	Referred by something other than search engine	299277	1.107
2016-07-28	Referred by a search engine	191506	0.708
2016-07-28	Referred internally (itself or a sister wiki)	753141	2.786
2016-07-28	Direct (not referred by anything)	25793850	95.399
2016-07-29	Referred by something other than search engine	276949	0.965
2016-07-29	Referred by a search engine	170043	0.593
2016-07-29	Referred internally (itself or a sister wiki)	718929	2.506
2016-07-29	Direct (not referred by anything)	27520982	95.936
2016-07-30	Referred by something other than search engine	257086	1.039
2016-07-30	Referred by a search engine	148089	0.598
2016-07-30	Referred internally (itself or a sister wiki)	727458	2.939
2016-07-30	Direct (not referred by anything)	23616957	95.424
2016-07-31	Referred by something other than search engine	264858	1.099
2016-07-31	Referred by a search engine	159976	0.664
2016-07-31	Referred internally (itself or a sister wiki)	666429	2.766
2016-07-31	Direct (not referred by anything)	22998334	95.47
2016-08-01	Referred by something other than search engine	296670	1.159
2016-08-01	Referred by a search engine	179359	0.701
2016-08-01	Referred internally (itself or a sister wiki)	767827	3
2016-08-01	Direct (not referred by anything)	24347913	95.14
2016-08-02	Referred by something other than search engine	272878	1.054
2016-08-02	Referred by a search engine	170125	0.657
2016-08-02	Referred internally (itself or a sister wiki)	769717	2.973
2016-08-02	Direct (not referred by anything)	24674242	95.315
2016-08-03	Referred by something other than search engine	282517	0.961
2016-08-03	Referred by a search engine	165847	0.564
2016-08-03	Referred internally (itself or a sister wiki)	745053	2.533
2016-08-03	Direct (not referred by anything)	28215950	95.942
2016-08-04	Referred by something other than search engine	282001	1.03
2016-08-04	Referred by a search engine	156661	0.572
2016-08-04	Referred internally (itself or a sister wiki)	685299	2.504
2016-08-04	Direct (not referred by anything)	26245863	95.893
2016-08-05	Referred by something other than search engine	272219	1.057
2016-08-05	Referred by a search engine	156768	0.609
2016-08-05	Referred internally (itself or a sister wiki)	689227	2.677
2016-08-05	Direct (not referred by anything)	24629677	95.657
2016-08-06	Referred by something other than search engine	244570	1.024
2016-08-06	Referred by a search engine	140777	0.589
2016-08-06	Referred internally (itself or a sister wiki)	621760	2.602
2016-08-06	Direct (not referred by anything)	22885399	95.785
2016-08-07	Referred by something other than search engine	250356	1.075
2016-08-07	Referred by a search engine	144843	0.622
2016-08-07	Referred internally (itself or a sister wiki)	659930	2.834
2016-08-07	Direct (not referred by anything)	22230522	95.469
2016-08-08	Referred by something other than search engine	298876	1.247
2016-08-08	Referred by a search engine	181350	0.757
2016-08-08	Referred internally (itself or a sister wiki)	768143	3.205
2016-08-08	Direct (not referred by anything)	22720811	94.792
2016-08-09	Referred by something other than search engine	291682	1.145
2016-08-09	Referred by a search engine	185030	0.727
2016-08-09	Referred internally (itself or a sister wiki)	770283	3.025
2016-08-09	Direct (not referred by anything)	24216680	95.103
2016-08-10	Referred by something other than search engine	278275	1.075
2016-08-10	Referred by a search engine	182776	0.706
2016-08-10	Referred internally (itself or a sister wiki)	818479	3.161
2016-08-10	Direct (not referred by anything)	24611661	95.058
2016-08-11	Referred by something other than search engine	281478	1.095
2016-08-11	Referred by a search engine	171011	0.665
2016-08-11	Referred internally (itself or a sister wiki)	831605	3.234
2016-08-11	Direct (not referred by anything)	24429035	95.006
2016-08-12	Referred by something other than search engine	282530	1.04
2016-08-12	Referred by a search engine	165244	0.608
2016-08-12	Referred internally (itself or a sister wiki)	763038	2.809
2016-08-12	Direct (not referred by anything)	25956748	95.543
2016-08-13	Referred by something other than search engine	245230	0.934
2016-08-13	Referred by a search engine	138015	0.526
2016-08-13	Referred internally (itself or a sister wiki)	688375	2.622
2016-08-13	Direct (not referred by anything)	25179212	95.918
2016-08-14	Referred by something other than search engine	234961	0.94
2016-08-14	Referred by a search engine	143672	0.575
2016-08-14	Referred internally (itself or a sister wiki)	746558	2.986
2016-08-14	Direct (not referred by anything)	23873046	95.499
2016-08-15	Referred by something other than search engine	264199	0.927
2016-08-15	Referred by a search engine	179825	0.631
2016-08-15	Referred internally (itself or a sister wiki)	837778	2.941
2016-08-15	Direct (not referred by anything)	27208752	95.501
2016-08-16	Referred by something other than search engine	275751	0.859
2016-08-16	Referred by a search engine	183994	0.573
2016-08-16	Referred internally (itself or a sister wiki)	861797	2.683
2016-08-16	Direct (not referred by anything)	30798515	95.886
2016-08-17	Referred by something other than search engine	296876	1.049
2016-08-17	Referred by a search engine	182455	0.645
2016-08-17	Referred internally (itself or a sister wiki)	846560	2.992
2016-08-17	Direct (not referred by anything)	26964069	95.313
2016-08-18	Referred by something other than search engine	290458	1.145
2016-08-18	Referred by a search engine	175464	0.692
2016-08-18	Referred internally (itself or a sister wiki)	816449	3.218
2016-08-18	Direct (not referred by anything)	24087257	94.945
2016-08-19	Referred by something other than search engine	296998	1.083
2016-08-19	Referred by a search engine	170736	0.622
2016-08-19	Referred internally (itself or a sister wiki)	740572	2.7
2016-08-19	Direct (not referred by anything)	26220848	95.595
2016-08-20	Referred by something other than search engine	277731	1.077
2016-08-20	Referred by a search engine	154569	0.6
2016-08-20	Referred internally (itself or a sister wiki)	792664	3.074
2016-08-20	Direct (not referred by anything)	24557320	95.249
2016-08-21	Referred by something other than search engine	274438	1.15
2016-08-21	Referred by a search engine	163209	0.684
2016-08-21	Referred internally (itself or a sister wiki)	623986	2.614
2016-08-21	Direct (not referred by anything)	22808152	95.552
2016-08-22	Referred by something other than search engine	310001	1.18
2016-08-22	Referred by a search engine	200268	0.762
2016-08-22	Referred internally (itself or a sister wiki)	728464	2.773
2016-08-22	Direct (not referred by anything)	25029460	95.284
2016-08-23	Referred by something other than search engine	319560	1.084
2016-08-23	Referred by a search engine	190472	0.646
2016-08-23	Referred internally (itself or a sister wiki)	1522492	5.165
2016-08-23	Direct (not referred by anything)	27443595	93.105
2016-08-24	Referred by something other than search engine	322375	1.126
2016-08-24	Referred by a search engine	185010	0.646
2016-08-24	Referred internally (itself or a sister wiki)	802933	2.805
2016-08-24	Direct (not referred by anything)	27314300	95.422
2016-08-25	Referred by something other than search engine	325013	1.168
2016-08-25	Referred by a search engine	178532	0.641
2016-08-25	Referred internally (itself or a sister wiki)	781608	2.808
2016-08-25	Direct (not referred by anything)	26547336	95.383
2016-08-26	Referred by something other than search engine	335078	1.195
2016-08-26	Referred by a search engine	181384	0.647
2016-08-26	Referred internally (itself or a sister wiki)	676414	2.412
2016-08-26	Direct (not referred by anything)	26854888	95.747
2016-08-27	Referred by something other than search engine	206516	0.816
2016-08-27	Referred by a search engine	138272	0.546
2016-08-27	Referred internally (itself or a sister wiki)	559059	2.209
2016-08-27	Direct (not referred by anything)	24402663	96.428
2016-08-28	Referred by something other than search engine	317149	1.282
2016-08-28	Referred by a search engine	153920	0.622
2016-08-28	Referred internally (itself or a sister wiki)	650800	2.631
2016-08-28	Direct (not referred by anything)	23615596	95.465
2016-08-29	Referred by something other than search engine	324300	1.139
2016-08-29	Referred by a search engine	209492	0.736
2016-08-29	Referred internally (itself or a sister wiki)	845639	2.971
2016-08-29	Direct (not referred by anything)	27080894	95.153
2016-08-30	Referred by something other than search engine	321600	1.006
2016-08-30	Referred by a search engine	216961	0.679
2016-08-30	Referred internally (itself or a sister wiki)	816537	2.554
2016-08-30	Direct (not referred by anything)	30611870	95.761
2016-08-31	Referred by something other than search engine	319466	0.933
2016-08-31	Referred by a search engine	196435	0.574
2016-08-31	Referred internally (itself or a sister wiki)	846544	2.473
2016-08-31	Direct (not referred by anything)	32863372	96.019
2016-09-01	Referred by something other than search engine	320576	1.031
2016-09-01	Referred by a search engine	180536	0.581
2016-09-01	Referred internally (itself or a sister wiki)	936366	3.012
2016-09-01	Direct (not referred by anything)	29647937	95.376
2016-09-02	Referred by something other than search engine	317608	1.081
2016-09-02	Referred by a search engine	191209	0.651
2016-09-02	Referred internally (itself or a sister wiki)	783288	2.665
2016-09-02	Direct (not referred by anything)	28095770	95.603
2016-09-03	Referred by something other than search engine	316928	1.047
2016-09-03	Referred by a search engine	144505	0.477
2016-09-03	Referred internally (itself or a sister wiki)	763249	2.522
2016-09-03	Direct (not referred by anything)	29040581	95.954
2016-09-04	Referred by something other than search engine	303890	1.165
2016-09-04	Referred by a search engine	157584	0.604
2016-09-04	Referred internally (itself or a sister wiki)	726893	2.786
2016-09-04	Direct (not referred by anything)	24898404	95.445
2016-09-05	Referred by something other than search engine	332458	1.198
2016-09-05	Referred by a search engine	184951	0.667
2016-09-05	Referred internally (itself or a sister wiki)	740169	2.668
2016-09-05	Direct (not referred by anything)	26484099	95.467
2016-09-06	Referred by something other than search engine	364474	1.109
2016-09-06	Referred by a search engine	211633	0.644
2016-09-06	Referred internally (itself or a sister wiki)	800176	2.436
2016-09-06	Direct (not referred by anything)	31478172	95.811
2016-09-07	Referred by something other than search engine	355990	0.886
2016-09-07	Referred by a search engine	203198	0.506
2016-09-07	Referred internally (itself or a sister wiki)	795993	1.98
2016-09-07	Direct (not referred by anything)	38841892	96.629
2016-09-08	Referred by something other than search engine	349010	0.956
2016-09-08	Referred by a search engine	194822	0.534
2016-09-08	Referred internally (itself or a sister wiki)	825391	2.262
2016-09-08	Direct (not referred by anything)	35128188	96.248
2016-09-09	Referred by something other than search engine	393295	1.113
2016-09-09	Referred by a search engine	206011	0.583
2016-09-09	Referred internally (itself or a sister wiki)	784551	2.221
2016-09-09	Direct (not referred by anything)	33947984	96.083
2016-09-10	Referred by something other than search engine	319630	1.037
2016-09-10	Referred by a search engine	152576	0.495
2016-09-10	Referred internally (itself or a sister wiki)	685437	2.224
2016-09-10	Direct (not referred by anything)	29665482	96.244
2016-09-11	Referred by something other than search engine	328173	1.191
2016-09-11	Referred by a search engine	164233	0.596
2016-09-11	Referred internally (itself or a sister wiki)	739038	2.683
2016-09-11	Direct (not referred by anything)	26312497	95.529
2016-09-12	Referred by something other than search engine	345494	1.032
2016-09-12	Referred by a search engine	227184	0.678
2016-09-12	Referred internally (itself or a sister wiki)	858152	2.562
2016-09-12	Direct (not referred by anything)	32061194	95.728
2016-09-13	Referred by something other than search engine	210715	0.82
2016-09-13	Referred by a search engine	204519	0.796
2016-09-13	Referred internally (itself or a sister wiki)	24543	0.096
2016-09-13	Direct (not referred by anything)	25249537	98.288
2016-09-14	Referred by something other than search engine	210351	0.817
2016-09-14	Referred by a search engine	202807	0.788
2016-09-14	Referred internally (itself or a sister wiki)	25525	0.099
2016-09-14	Direct (not referred by anything)	25313424	98.297
2016-09-15	Referred by something other than search engine	215917	0.844
2016-09-15	Referred by a search engine	208787	0.816
2016-09-15	Referred internally (itself or a sister wiki)	25250	0.099
2016-09-15	Direct (not referred by anything)	25122142	98.24
2016-09-16	Referred by something other than search engine	210292	0.826
2016-09-16	Referred by a search engine	188815	0.741
2016-09-16	Referred internally (itself or a sister wiki)	23987	0.094
2016-09-16	Direct (not referred by anything)	25050879	98.339
2016-09-17	Referred by something other than search engine	210010	0.947
2016-09-17	Referred by a search engine	137444	0.62
2016-09-17	Referred internally (itself or a sister wiki)	22707	0.102
2016-09-17	Direct (not referred by anything)	21799102	98.33
2016-09-18	Referred by something other than search engine	210330	1.144
2016-09-18	Referred by a search engine	150108	0.817
2016-09-18	Referred internally (itself or a sister wiki)	22106	0.12
2016-09-18	Direct (not referred by anything)	17999174	97.919
2016-09-19	Referred by something other than search engine	219687	1.013
2016-09-19	Referred by a search engine	224049	1.034
2016-09-19	Referred internally (itself or a sister wiki)	23861	0.11
2016-09-19	Direct (not referred by anything)	21210337	97.843
2016-09-20	Referred by something other than search engine	216277	0.858
2016-09-20	Referred by a search engine	216515	0.858
2016-09-20	Referred internally (itself or a sister wiki)	171053	0.678
2016-09-20	Direct (not referred by anything)	24616366	97.606
2016-09-21	Referred by something other than search engine	217400	0.805
2016-09-21	Referred by a search engine	213454	0.791
2016-09-21	Referred internally (itself or a sister wiki)	23875	0.088
2016-09-21	Direct (not referred by anything)	26536253	98.315
2016-09-22	Referred by something other than search engine	223204	0.852
2016-09-22	Referred by a search engine	210854	0.805
2016-09-22	Referred internally (itself or a sister wiki)	24262	0.093
2016-09-22	Direct (not referred by anything)	25725080	98.25
2016-09-23	Referred by something other than search engine	219073	0.842
2016-09-23	Referred by a search engine	193035	0.742
2016-09-23	Referred internally (itself or a sister wiki)	24145	0.093
2016-09-23	Direct (not referred by anything)	25584009	98.323
2016-09-24	Referred by something other than search engine	211941	0.935
2016-09-24	Referred by a search engine	139346	0.615
2016-09-24	Referred internally (itself or a sister wiki)	23548	0.104
2016-09-24	Direct (not referred by anything)	22280895	98.346
2016-09-25	Referred by something other than search engine	210403	1.112
2016-09-25	Referred by a search engine	152769	0.808
2016-09-25	Referred internally (itself or a sister wiki)	24112	0.127
2016-09-25	Direct (not referred by anything)	18531280	97.953
2016-09-26	Referred by something other than search engine	236485	1.044
2016-09-26	Referred by a search engine	224346	0.991
2016-09-26	Referred internally (itself or a sister wiki)	27013	0.119
2016-09-26	Direct (not referred by anything)	22154558	97.845
2016-09-27	Referred by something other than search engine	229614	0.875
2016-09-27	Referred by a search engine	207626	0.791
2016-09-27	Referred internally (itself or a sister wiki)	27050	0.103
2016-09-27	Direct (not referred by anything)	25775938	98.231
2016-09-28	Referred by something other than search engine	222058	0.833
2016-09-28	Referred by a search engine	212380	0.797
2016-09-28	Referred internally (itself or a sister wiki)	27931	0.105
2016-09-28	Direct (not referred by anything)	26196397	98.266
2016-09-29	Referred by something other than search engine	234508	0.883
2016-09-29	Referred by a search engine	216621	0.816
2016-09-29	Referred internally (itself or a sister wiki)	26499	0.1
2016-09-29	Direct (not referred by anything)	26082434	98.202
2016-09-30	Referred by something other than search engine	230946	0.864
2016-09-30	Referred by a search engine	195478	0.731
2016-09-30	Referred internally (itself or a sister wiki)	24579	0.092
2016-09-30	Direct (not referred by anything)	26286880	98.313
2016-10-01	Referred by something other than search engine	219242	0.946
2016-10-01	Referred by a search engine	138297	0.597
2016-10-01	Referred internally (itself or a sister wiki)	24205	0.104
2016-10-01	Direct (not referred by anything)	22790459	98.353
2016-10-02	Referred by something other than search engine	219419	1.125
2016-10-02	Referred by a search engine	150417	0.771
2016-10-02	Referred internally (itself or a sister wiki)	30840	0.158
2016-10-02	Direct (not referred by anything)	19106483	97.946
2016-10-03	Referred by something other than search engine	243929	1.057
2016-10-03	Referred by a search engine	211361	0.916
2016-10-03	Referred internally (itself or a sister wiki)	28315	0.123
2016-10-03	Direct (not referred by anything)	22602630	97.905
2016-10-04	Referred by something other than search engine	248780	0.932
2016-10-04	Referred by a search engine	204381	0.765
2016-10-04	Referred internally (itself or a sister wiki)	26678	0.1
2016-10-04	Direct (not referred by anything)	26219434	98.203
2016-10-05	Referred by something other than search engine	240386	0.892
2016-10-05	Referred by a search engine	195221	0.724
2016-10-05	Referred internally (itself or a sister wiki)	27774	0.103
2016-10-05	Direct (not referred by anything)	26486703	98.281
2016-10-06	Referred by something other than search engine	235965	0.859
2016-10-06	Referred by a search engine	199874	0.727
2016-10-06	Referred internally (itself or a sister wiki)	37107	0.135
2016-10-06	Direct (not referred by anything)	27002895	98.279
2016-10-07	Referred by something other than search engine	237082	0.868
2016-10-07	Referred by a search engine	196564	0.72
2016-10-07	Referred internally (itself or a sister wiki)	26644	0.098
2016-10-07	Direct (not referred by anything)	26854092	98.315
2016-10-08	Referred by something other than search engine	242578	1.026
2016-10-08	Referred by a search engine	178057	0.753
2016-10-08	Referred internally (itself or a sister wiki)	22304	0.094
2016-10-08	Direct (not referred by anything)	23205991	98.127
2016-10-09	Referred by something other than search engine	220535	1.117
2016-10-09	Referred by a search engine	153836	0.779
2016-10-09	Referred internally (itself or a sister wiki)	28205	0.143
2016-10-09	Direct (not referred by anything)	19343126	97.961
2016-10-10	Referred by something other than search engine	222683	1.005
2016-10-10	Referred by a search engine	203435	0.918
2016-10-10	Referred internally (itself or a sister wiki)	35941	0.162
2016-10-10	Direct (not referred by anything)	21699520	97.915
2016-10-11	Referred by something other than search engine	237338	0.925
2016-10-11	Referred by a search engine	209362	0.816
2016-10-11	Referred internally (itself or a sister wiki)	36579	0.143
2016-10-11	Direct (not referred by anything)	25183266	98.117
2016-10-12	Referred by something other than search engine	244381	0.911
2016-10-12	Referred by a search engine	207249	0.773
2016-10-12	Referred internally (itself or a sister wiki)	26052	0.097
2016-10-12	Direct (not referred by anything)	26337732	98.219
2016-10-13	Referred by something other than search engine	267529	0.98
2016-10-13	Referred by a search engine	210813	0.772
2016-10-13	Referred internally (itself or a sister wiki)	37413	0.137
2016-10-13	Direct (not referred by anything)	26784581	98.111
2016-10-14	Referred by something other than search engine	258737	0.943
2016-10-14	Referred by a search engine	182337	0.665
2016-10-14	Referred internally (itself or a sister wiki)	24601	0.09
2016-10-14	Direct (not referred by anything)	26969288	98.303
2016-10-15	Referred by something other than search engine	239058	1.001
2016-10-15	Referred by a search engine	130818	0.548
2016-10-15	Referred internally (itself or a sister wiki)	21507	0.09
2016-10-15	Direct (not referred by anything)	23488990	98.361
2016-10-16	Referred by something other than search engine	249602	1.247
2016-10-16	Referred by a search engine	144525	0.722
2016-10-16	Referred internally (itself or a sister wiki)	23477	0.117
2016-10-16	Direct (not referred by anything)	19598282	97.914
2016-10-17	Referred by something other than search engine	257341	1.075
2016-10-17	Referred by a search engine	210319	0.878
2016-10-17	Referred internally (itself or a sister wiki)	24219	0.101
2016-10-17	Direct (not referred by anything)	23452421	97.946
2016-10-18	Referred by something other than search engine	246906	0.893
2016-10-18	Referred by a search engine	213241	0.771
2016-10-18	Referred internally (itself or a sister wiki)	24849	0.09
2016-10-18	Direct (not referred by anything)	27163239	98.246
2016-10-19	Referred by something other than search engine	249461	0.91
2016-10-19	Referred by a search engine	209971	0.766
2016-10-19	Referred internally (itself or a sister wiki)	33999	0.124
2016-10-19	Direct (not referred by anything)	26920370	98.2
2016-10-20	Referred by something other than search engine	253758	0.933
2016-10-20	Referred by a search engine	206986	0.761
2016-10-20	Referred internally (itself or a sister wiki)	36086	0.133
2016-10-20	Direct (not referred by anything)	26706666	98.174
2016-10-21	Referred by something other than search engine	257985	0.953
2016-10-21	Referred by a search engine	191346	0.707
2016-10-21	Referred internally (itself or a sister wiki)	54000	0.199
2016-10-21	Direct (not referred by anything)	26567870	98.141
2016-10-22	Referred by something other than search engine	255150	1.086
2016-10-22	Referred by a search engine	136002	0.579
2016-10-22	Referred internally (itself or a sister wiki)	36836	0.157
2016-10-22	Direct (not referred by anything)	23059711	98.178
2016-10-23	Referred by something other than search engine	233019	1.171
2016-10-23	Referred by a search engine	148312	0.745
2016-10-23	Referred internally (itself or a sister wiki)	22554	0.113
2016-10-23	Direct (not referred by anything)	19497354	97.971
2016-10-24	Referred by something other than search engine	243889	1.019
2016-10-24	Referred by a search engine	215128	0.899
2016-10-24	Referred internally (itself or a sister wiki)	29051	0.121
2016-10-24	Direct (not referred by anything)	23448424	97.961
2016-10-25	Referred by something other than search engine	250039	0.892
2016-10-25	Referred by a search engine	220601	0.787
2016-10-25	Referred internally (itself or a sister wiki)	33157	0.118
2016-10-25	Direct (not referred by anything)	27521042	98.202
2016-10-26	Referred by something other than search engine	257109	0.913
2016-10-26	Referred by a search engine	215122	0.764
2016-10-26	Referred internally (itself or a sister wiki)	24113	0.086
2016-10-26	Direct (not referred by anything)	27666565	98.238
2016-10-27	Referred by something other than search engine	241928	0.868
2016-10-27	Referred by a search engine	209094	0.75
2016-10-27	Referred internally (itself or a sister wiki)	24721	0.089
2016-10-27	Direct (not referred by anything)	27399748	98.293
2016-10-28	Referred by something other than search engine	241195	0.876
2016-10-28	Referred by a search engine	181424	0.659
2016-10-28	Referred internally (itself or a sister wiki)	22892	0.083
2016-10-28	Direct (not referred by anything)	27087434	98.382
2016-10-29	Referred by something other than search engine	227971	0.949
2016-10-29	Referred by a search engine	128403	0.534
2016-10-29	Referred internally (itself or a sister wiki)	21321	0.089
2016-10-29	Direct (not referred by anything)	23650633	98.428
2016-10-30	Referred by something other than search engine	253013	1.267
2016-10-30	Referred by a search engine	143093	0.717
2016-10-30	Referred internally (itself or a sister wiki)	22366	0.112
2016-10-30	Direct (not referred by anything)	19548418	97.904
2016-10-31	Referred by something other than search engine	267308	1.109
2016-10-31	Referred by a search engine	202413	0.84
2016-10-31	Referred internally (itself or a sister wiki)	24471	0.101
2016-10-31	Direct (not referred by anything)	23615430	97.95
2016-11-01	Referred by something other than search engine	246511	0.877
2016-11-01	Referred by a search engine	211129	0.751
2016-11-01	Referred internally (itself or a sister wiki)	21399	0.076
2016-11-01	Direct (not referred by anything)	27638007	98.296
2016-11-02	Referred by something other than search engine	255405	0.885
2016-11-02	Referred by a search engine	220491	0.764
2016-11-02	Referred internally (itself or a sister wiki)	29315	0.102
2016-11-02	Direct (not referred by anything)	28364826	98.25
2016-11-03	Referred by something other than search engine	229454	0.788
2016-11-03	Referred by a search engine	221424	0.761
2016-11-03	Referred internally (itself or a sister wiki)	25259	0.087
2016-11-03	Direct (not referred by anything)	28625788	98.364
2016-11-04	Referred by something other than search engine	257880	0.86
2016-11-04	Referred by a search engine	202227	0.674
2016-11-04	Referred internally (itself or a sister wiki)	22824	0.076
2016-11-04	Direct (not referred by anything)	29511838	98.39
2016-11-05	Referred by something other than search engine	227130	0.884
2016-11-05	Referred by a search engine	141828	0.552
2016-11-05	Referred internally (itself or a sister wiki)	19642	0.076
2016-11-05	Direct (not referred by anything)	25306966	98.488
2016-11-06	Referred by something other than search engine	233000	1.113
2016-11-06	Referred by a search engine	157770	0.754
2016-11-06	Referred internally (itself or a sister wiki)	21917	0.105
2016-11-06	Direct (not referred by anything)	20513295	98.028
2016-11-07	Referred by something other than search engine	232588	0.944
2016-11-07	Referred by a search engine	221732	0.9
2016-11-07	Referred internally (itself or a sister wiki)	23431	0.095
2016-11-07	Direct (not referred by anything)	24156750	98.061
2016-11-08	Referred by something other than search engine	223683	0.794
2016-11-08	Referred by a search engine	215589	0.765
2016-11-08	Referred internally (itself or a sister wiki)	23042	0.082
2016-11-08	Direct (not referred by anything)	27726359	98.36
2016-11-09	Referred by something other than search engine	224177	0.787
2016-11-09	Referred by a search engine	226617	0.796
2016-11-09	Referred internally (itself or a sister wiki)	22693	0.08
2016-11-09	Direct (not referred by anything)	28007095	98.338
2016-11-10	Referred by something other than search engine	202853	0.78
2016-11-10	Referred by a search engine	188414	0.724
2016-11-10	Referred internally (itself or a sister wiki)	16951	0.065
2016-11-10	Direct (not referred by anything)	25612454	98.431
2016-11-11	Referred by something other than search engine	246317	0.89
2016-11-11	Referred by a search engine	189148	0.683
2016-11-11	Referred internally (itself or a sister wiki)	18784	0.068
2016-11-11	Direct (not referred by anything)	27225741	98.359
2016-11-12	Referred by something other than search engine	259974	1.138
2016-11-12	Referred by a search engine	147987	0.648
2016-11-12	Referred internally (itself or a sister wiki)	16214	0.071
2016-11-12	Direct (not referred by anything)	22427921	98.144
2016-11-13	Referred by something other than search engine	230573	1.166
2016-11-13	Referred by a search engine	179092	0.906
2016-11-13	Referred internally (itself or a sister wiki)	16867	0.085
2016-11-13	Direct (not referred by anything)	19344219	97.843
2016-11-14	Referred by something other than search engine	237261	0.988
2016-11-14	Referred by a search engine	256884	1.07
2016-11-14	Referred internally (itself or a sister wiki)	23288	0.097
2016-11-14	Direct (not referred by anything)	23492887	97.845
2016-11-15	Referred by something other than search engine	239874	0.838
2016-11-15	Referred by a search engine	243458	0.85
2016-11-15	Referred internally (itself or a sister wiki)	22549	0.079
2016-11-15	Direct (not referred by anything)	28134283	98.234
2016-11-16	Referred by something other than search engine	235204	0.814
2016-11-16	Referred by a search engine	251675	0.871
2016-11-16	Referred internally (itself or a sister wiki)	23114	0.08
2016-11-16	Direct (not referred by anything)	28385604	98.235
2016-11-17	Referred by something other than search engine	232273	0.788
2016-11-17	Referred by a search engine	248549	0.844
2016-11-17	Referred internally (itself or a sister wiki)	28594	0.097
2016-11-17	Direct (not referred by anything)	28954889	98.271
2016-11-18	Referred by something other than search engine	211028	0.723
2016-11-18	Referred by a search engine	221149	0.758
2016-11-18	Referred internally (itself or a sister wiki)	25393	0.087
2016-11-18	Direct (not referred by anything)	28733251	98.432
2016-11-19	Referred by something other than search engine	205637	0.822
2016-11-19	Referred by a search engine	165722	0.663
2016-11-19	Referred internally (itself or a sister wiki)	17111	0.068
2016-11-19	Direct (not referred by anything)	24613310	98.446
2016-11-20	Referred by something other than search engine	211499	1.072
2016-11-20	Referred by a search engine	182460	0.925
2016-11-20	Referred internally (itself or a sister wiki)	17593	0.089
2016-11-20	Direct (not referred by anything)	19315281	97.914
2016-11-21	Referred by something other than search engine	229394	1.017
2016-11-21	Referred by a search engine	241151	1.07
2016-11-21	Referred internally (itself or a sister wiki)	20118	0.089
2016-11-21	Direct (not referred by anything)	22057267	97.824
2016-11-22	Referred by something other than search engine	226753	0.894
2016-11-22	Referred by a search engine	235221	0.928
2016-11-22	Referred internally (itself or a sister wiki)	22071	0.087
2016-11-22	Direct (not referred by anything)	24870819	98.091
2016-11-23	Referred by something other than search engine	252173	1.047
2016-11-23	Referred by a search engine	222031	0.922
2016-11-23	Referred internally (itself or a sister wiki)	20750	0.086
2016-11-23	Direct (not referred by anything)	23584859	97.945
2016-11-24	Referred by something other than search engine	242732	1.147
2016-11-24	Referred by a search engine	199926	0.945
2016-11-24	Referred internally (itself or a sister wiki)	45188	0.214
2016-11-24	Direct (not referred by anything)	20674974	97.695
2016-11-25	Referred by something other than search engine	240286	1.206
